style,view,shoe,speed_mph,run_folder,stride_idx,contact_ms,air_ms,stride_ms,ratio,pct_contact,knee_angle_deg,ankle_ahead_knee_px,toeoff_ankle_knee_px,cadence_spm,loading_rate,flight_arc_px,hip_osc_px
overstriding,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181012,18,533,400,933,1.3325,57.12754555198285,174.94969906401477,-85.86799021070772,278.52093357057834,64.30868167202573,0.10881258116001534,148.06665704312934,75.82769744943269
overstriding,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181012,19,533,400,933,1.3325,57.12754555198285,176.43410380662598,-93.30306715720349,278.6248564267761,64.30868167202573,0.25534503150775645,148.40336468356986,78.91629284077248
overstriding,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181012,20,534,400,934,1.335,57.17344753747323,173.40352742136014,-77.69879225651744,293.98073632720116,64.23982869379014,0.2695916134050771,159.1829151829612,78.91629284077248
overstriding,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181012,21,533,367,900,1.452316076294278,59.22222222222222,168.68884562441124,-56.73893750356626,283.01571034891595,66.66666666666667,0.16889228105126017,154.60495833359528,66.01673491669702
overstriding,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181012,22,533,400,933,1.3325,57.12754555198285,176.9828082640531,-110.80766236760792,289.2612559914754,64.30868167202573,0.3630458405027237,172.22340780472325,68.99889873588204
overstriding,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181012,23,533,367,900,1.452316076294278,59.22222222222222,172.34393745743463,-68.93633147524838,281.6596374616647,66.66666666666667,0.18124841470457048,160.72749650158937,73.63382188461676
overstriding,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181012,24,533,400,933,1.3325,57.12754555198285,174.21183493329553,-92.79852895993736,280.6952753119157,64.30868167202573,0.3049924777619462,155.78255156359285,83.88851023994664
overstriding,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181012,25,534,400,934,1.335,57.17344753747323,173.57195334612362,-106.86094015872311,268.3415926959351,64.23982869379014,0.4776330797366909,163.63755918997936,74.03374238956994
overstriding,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181012,26,533,433,966,1.2309468822170901,55.175983436853,175.6968473739636,-124.22051034147796,267.922523051624,62.11180124223603,0.16306520493095067,167.30665706945126,77.45241509107802
overstriding,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181012,27,534,400,934,1.335,57.17344753747323,179.37866033612863,-141.08872293935156,277.9327696646815,64.23982869379014,0.10852458278421102,160.68345145285355,81.80176585624031
overstriding,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181012,28,533,367,900,1.452316076294278,59.22222222222222,171.88812816430556,-78.22407873689656,281.114197574641,66.66666666666667,0.16169618815223302,156.20757901132663,94.41072949951024
overstriding,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181012,29,533,433,966,1.2309468822170901,55.175983436853,176.40905576571092,-108.56220640219578,271.95306923827457,62.11180124223603,0.35676383077049695,152.58371252811548,76.82263940533039
overstriding,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181012,30,534,400,934,1.335,57.17344753747323,174.00196154384892,-89.80436405704756,275.08400265216494,64.23982869379014,0.058211846508782444,157.18065933853336,64.40751526590182
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,0,366,300,666,1.22,54.95495495495496,166.5157535990429,-27.186306115692673,278.3129029199208,90.09009009009009,0.6957822196793313,141.5761321755615,
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,1,334,300,634,1.1133333333333333,52.6813880126183,162.06944677597446,6.700489390748203,267.604570449284,94.6372239747634,0.296075713046702,140.6479401797568,63.44317523705566
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,2,333,300,633,1.11,52.60663507109005,162.64646784837768,4.167455997745151,277.378727904417,94.7867298578199,0.6245618709703207,138.08830280139364,70.04775210537986
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,3,333,300,633,1.11,52.60663507109005,161.31655303236258,14.93331654659039,257.4367156303582,94.7867298578199,0.34340821123821436,147.73688884724208,66.96710318271872
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,4,367,333,700,1.102102102102102,52.42857142857142,164.2591154623029,-14.851650793132194,272.9682929807316,85.71428571428571,0.5944450974860627,146.64722763806753,69.63092889386942
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,5,367,300,667,1.2233333333333334,55.02248875562219,163.31601544110384,0.8166764257038039,275.3337388458923,89.95502248875562,0.40030333432617543,142.70441967502745,74.38553878649327
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,6,400,300,700,1.3333333333333333,57.14285714285714,166.73499398046488,-28.265017871440932,283.56286786676515,85.71428571428571,0.6596158115151534,152.43053372030943,76.38984849670484
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,7,400,300,700,1.3333333333333333,57.14285714285714,163.32861631092072,-9.15947313070535,304.50343922219713,85.71428571428571,0.9868746987326121,156.7745949588459,75.14524505652285
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,8,367,333,700,1.102102102102102,52.42857142857142,162.82531376982502,0.39464698200254134,278.71402333659285,85.71428571428571,0.5585496856378868,148.0423430440095,72.0016407204475
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,9,367,300,667,1.2233333333333334,55.02248875562219,162.23096637491895,17.527715027245904,306.4762780873875,89.95502248875562,0.40462416186579986,152.01316576370482,65.84545576628639
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,10,333,300,633,1.11,52.60663507109005,169.21638910962875,-6.268816521533722,285.59609325100314,94.7867298578199,0.7049941366010469,154.6839140662779,65.84916614062885
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,11,233,267,500,0.8726591760299626,46.6,165.29090304594865,-26.32772619446962,284.9125511146027,120.0,0.8820781386858545,154.3794652470001,64.09712350389364
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,12,367,333,700,1.102102102102102,52.42857142857142,165.7454193971378,-23.021075015406268,271.28933829564505,85.71428571428571,0.5042415197369715,141.6018194702849,77.22544461083233
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,13,333,267,600,1.247191011235955,55.50000000000001,163.9969912547741,6.947885617729298,273.9484160683828,100.0,0.27949505140100395,136.53996065021022,77.22544461083233
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,14,367,266,633,1.3796992481203008,57.97788309636651,165.45593711187212,-16.044034968630626,268.2412428723163,94.7867298578199,0.6833521830988217,139.9931838512664,61.7795757665727
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,15,400,300,700,1.3333333333333333,57.14285714285714,163.8419363065931,-9.206300763162403,298.0778698534657,85.71428571428571,0.6755605926872391,155.98716195821646,71.43232714168175
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,16,367,300,667,1.2233333333333334,55.02248875562219,163.97602567999635,-1.1298144429941885,283.5248757743376,89.95502248875562,0.5647970542540066,150.27581557263852,85.14224330987457
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,17,367,300,667,1.2233333333333334,55.02248875562219,164.41904267317676,-9.532952647747607,295.89230557964777,89.95502248875562,0.8138819462431994,152.29876317949913,85.14224330987457
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,18,366,300,666,1.22,54.95495495495496,161.40805496300973,2.44969433595179,285.7847666570369,90.09009009009009,0.5701298317079505,156.60845108889998,71.65133601818297
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,19,367,300,667,1.2233333333333334,55.02248875562219,166.232349141489,-11.206392446858672,285.77589906498145,89.95502248875562,0.6490653584150295,158.51132771498612,71.16165489700603
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,20,367,300,667,1.2233333333333334,55.02248875562219,166.54768863759048,-27.767344826905173,284.27156881622807,89.95502248875562,0.5793097582754616,162.1037765672653,75.15511396468312
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,21,400,300,700,1.3333333333333333,57.14285714285714,164.5247740204644,-13.45901045048231,285.0975965032078,85.71428571428571,0.856305275273489,144.7497819831782,78.16546756782668
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,22,366,300,666,1.22,54.95495495495496,163.99595307701196,-8.632136493556004,291.51778603405774,90.09009009009009,0.7919227787829408,149.2416552184011,73.21014991858058
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,23,300,334,634,0.8982035928143712,47.3186119873817,161.68911887137676,38.3969973792,278.28123669767865,94.6372239747634,0.7303672472842422,163.69136197015644,79.9396548490372
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,24,366,334,700,1.095808383233533,52.28571428571429,163.95153660861598,0.06978717108700039,304.9802672609178,85.71428571428571,0.5588318030066812,155.24702086290722,80.88099128587862
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,25,333,333,666,1.0,50.0,162.45347693360043,15.680036144706378,293.6235078015882,90.09009009009009,0.42418938778535403,158.93726958890034,78.79805883954302
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,26,367,267,634,1.3745318352059925,57.88643533123028,169.04889703980842,-27.03688677339153,281.07602803203713,94.6372239747634,0.602977281887543,171.21876122643573,74.08851081654811
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,27,300,333,633,0.9009009009009009,47.39336492890995,156.9201721175375,58.50719406439816,280.92891023838683,94.7867298578199,0.853397633328258,168.55964211555465,78.81321018344971
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,28,367,300,667,1.2233333333333334,55.02248875562219,165.96088736895595,-12.442863826230223,299.6934008385307,89.95502248875562,0.49633446126055175,165.02194980000104,78.81321018344971
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,29,366,334,700,1.095808383233533,52.28571428571429,153.58491791980586,22.920632670089844,289.4073063665603,85.71428571428571,0.7563289053540435,150.8114371976942,79.62482044833396
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,30,366,267,633,1.3707865168539326,57.81990521327014,165.41689903564586,-4.259267256301882,295.3359822067599,94.7867298578199,0.20805493409489173,148.9014554843119,74.92377542716548
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,31,367,300,667,1.2233333333333334,55.02248875562219,167.6086371041192,-4.746587713944905,301.408276116758,89.95502248875562,0.7415530020914706,151.828361368331,77.00964144698375
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,32,366,334,700,1.095808383233533,52.28571428571429,166.58726326993983,-22.05131412083358,275.91957432337335,85.71428571428571,0.7855442509665279,156.01899816883235,86.43095965539692
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,33,366,300,666,1.22,54.95495495495496,165.7187633954056,-1.100323081323495,306.54920521989015,90.09009009009009,0.4899582878418886,153.056790837648,85.63750056574492
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,34,367,267,634,1.3745318352059925,57.88643533123028,165.00708268305456,-6.360507582985292,287.9662973545785,94.6372239747634,0.5901504159109469,158.81862734206413,73.11807509692073
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,35,366,334,700,1.095808383233533,52.28571428571429,167.0750442676445,-13.8449955200756,271.5704969893635,85.71428571428571,0.6281233781837975,139.7779377631415,73.05385944327627
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,36,366,334,700,1.095808383233533,52.28571428571429,160.39684475110684,6.590896109535265,279.6572383748569,85.71428571428571,0.41837327702104377,146.35465262858338,72.32689068404694
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,37,366,334,700,1.095808383233533,52.28571428571429,156.08160459214795,30.47096988961232,296.5862873339562,85.71428571428571,0.6039153730267252,145.40559419389035,76.41831143955439
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,38,300,300,600,1.0,50.0,162.565035889083,18.74438550767661,290.47700692777585,100.0,0.40884716915837727,154.73547314327016,78.65171206947655
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,39,366,300,666,1.22,54.95495495495496,160.98176436522726,11.802483421752981,292.0411147307823,90.09009009009009,0.42894164777093163,145.79410726071785,76.62329874371093
small_steps,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181058,40,367,333,700,1.102102102102102,52.42857142857142,163.5449802334017,-13.19559685826755,283.660842099932,85.71428571428571,0.7465353937178164,146.56343555454305,93.38990769581781
